Keyword,Query,Review Hits
"""digital twin""[tiab]","(""digital twin""[tiab][tiab]) AND (patient*[tiab][tiab] OR clinical[tiab][tiab] OR medical[tiab][tiab] OR health[tiab][tiab] OR medicine[tiab][tiab] OR surgery[tiab][tiab] OR treatment[tiab][tiab] OR therapy[tiab][tiab] OR drug[tiab][tiab] OR drugs[tiab][tiab] OR oncology[tiab][tiab] OR cancer[tiab][tiab] OR biomechanics[tiab][tiab] OR imaging[tiab][tiab] OR genomics[tiab][tiab] OR ""precision medicine""[tiab][tiab] OR ""precision health""[tiab][tiab] OR ""digital health""[tiab][tiab] OR ""personalized medicine""[tiab][tiab]) AND (review[pt] OR meta-analysis[pt] OR ""systematic review""[tiab] OR ""scoping review""[tiab] OR ""umbrella review""[tiab] OR ""meta review""[tiab])",185
"""digital twins""[tiab]","(""digital twins""[tiab][tiab]) AND (patient*[tiab][tiab] OR clinical[tiab][tiab] OR medical[tiab][tiab] OR health[tiab][tiab] OR medicine[tiab][tiab] OR surgery[tiab][tiab] OR treatment[tiab][tiab] OR therapy[tiab][tiab] OR drug[tiab][tiab] OR drugs[tiab][tiab] OR oncology[tiab][tiab] OR cancer[tiab][tiab] OR biomechanics[tiab][tiab] OR imaging[tiab][tiab] OR genomics[tiab][tiab] OR ""precision medicine""[tiab][tiab] OR ""precision health""[tiab][tiab] OR ""digital health""[tiab][tiab] OR ""personalized medicine""[tiab][tiab]) AND (review[pt] OR meta-analysis[pt] OR ""systematic review""[tiab] OR ""scoping review""[tiab] OR ""umbrella review""[tiab] OR ""meta review""[tiab])",224
"""digital twinning""[tiab]","(""digital twinning""[tiab][tiab]) AND (patient*[tiab][tiab] OR clinical[tiab][tiab] OR medical[tiab][tiab] OR health[tiab][tiab] OR medicine[tiab][tiab] OR surgery[tiab][tiab] OR treatment[tiab][tiab] OR therapy[tiab][tiab] OR drug[tiab][tiab] OR drugs[tiab][tiab] OR oncology[tiab][tiab] OR cancer[tiab][tiab] OR biomechanics[tiab][tiab] OR imaging[tiab][tiab] OR genomics[tiab][tiab] OR ""precision medicine""[tiab][tiab] OR ""precision health""[tiab][tiab] OR ""digital health""[tiab][tiab] OR ""personalized medicine""[tiab][tiab]) AND (review[pt] OR meta-analysis[pt] OR ""systematic review""[tiab] OR ""scoping review""[tiab] OR ""umbrella review""[tiab] OR ""meta review""[tiab])",6
"""patient digital twin""[tiab]","(""patient digital twin""[tiab][tiab]) AND (patient*[tiab][tiab] OR clinical[tiab][tiab] OR medical[tiab][tiab] OR health[tiab][tiab] OR medicine[tiab][tiab] OR surgery[tiab][tiab] OR treatment[tiab][tiab] OR therapy[tiab][tiab] OR drug[tiab][tiab] OR drugs[tiab][tiab] OR oncology[tiab][tiab] OR cancer[tiab][tiab] OR biomechanics[tiab][tiab] OR imaging[tiab][tiab] OR genomics[tiab][tiab] OR ""precision medicine""[tiab][tiab] OR ""precision health""[tiab][tiab] OR ""digital health""[tiab][tiab] OR ""personalized medicine""[tiab][tiab]) AND (review[pt] OR meta-analysis[pt] OR ""systematic review""[tiab] OR ""scoping review""[tiab] OR ""umbrella review""[tiab] OR ""meta review""[tiab])",3
"""patient digital twins""[tiab]","(""patient digital twins""[tiab][tiab]) AND (patient*[tiab][tiab] OR clinical[tiab][tiab] OR medical[tiab][tiab] OR health[tiab][tiab] OR medicine[tiab][tiab] OR surgery[tiab][tiab] OR treatment[tiab][tiab] OR therapy[tiab][tiab] OR drug[tiab][tiab] OR drugs[tiab][tiab] OR oncology[tiab][tiab] OR cancer[tiab][tiab] OR biomechanics[tiab][tiab] OR imaging[tiab][tiab] OR genomics[tiab][tiab] OR ""precision medicine""[tiab][tiab] OR ""precision health""[tiab][tiab] OR ""digital health""[tiab][tiab] OR ""personalized medicine""[tiab][tiab]) AND (review[pt] OR meta-analysis[pt] OR ""systematic review""[tiab] OR ""scoping review""[tiab] OR ""umbrella review""[tiab] OR ""meta review""[tiab])",1
"""digital patient*""[tiab]","(""digital patient*""[tiab][tiab]) AND (patient*[tiab][tiab] OR clinical[tiab][tiab] OR medical[tiab][tiab] OR health[tiab][tiab] OR medicine[tiab][tiab] OR surgery[tiab][tiab] OR treatment[tiab][tiab] OR therapy[tiab][tiab] OR drug[tiab][tiab] OR drugs[tiab][tiab] OR oncology[tiab][tiab] OR cancer[tiab][tiab] OR biomechanics[tiab][tiab] OR imaging[tiab][tiab] OR genomics[tiab][tiab] OR ""precision medicine""[tiab][tiab] OR ""precision health""[tiab][tiab] OR ""digital health""[tiab][tiab] OR ""personalized medicine""[tiab][tiab]) AND (review[pt] OR meta-analysis[pt] OR ""systematic review""[tiab] OR ""scoping review""[tiab] OR ""umbrella review""[tiab] OR ""meta review""[tiab])",56
"""virtual twin""[tiab]","(""virtual twin""[tiab][tiab]) AND (patient*[tiab][tiab] OR clinical[tiab][tiab] OR medical[tiab][tiab] OR health[tiab][tiab] OR medicine[tiab][tiab] OR surgery[tiab][tiab] OR treatment[tiab][tiab] OR therapy[tiab][tiab] OR drug[tiab][tiab] OR drugs[tiab][tiab] OR oncology[tiab][tiab] OR cancer[tiab][tiab] OR biomechanics[tiab][tiab] OR imaging[tiab][tiab] OR genomics[tiab][tiab] OR ""precision medicine""[tiab][tiab] OR ""precision health""[tiab][tiab] OR ""digital health""[tiab][tiab] OR ""personalized medicine""[tiab][tiab]) AND (review[pt] OR meta-analysis[pt] OR ""systematic review""[tiab] OR ""scoping review""[tiab] OR ""umbrella review""[tiab] OR ""meta review""[tiab])",4
"""virtual twins""[tiab]","(""virtual twins""[tiab][tiab]) AND (patient*[tiab][tiab] OR clinical[tiab][tiab] OR medical[tiab][tiab] OR health[tiab][tiab] OR medicine[tiab][tiab] OR surgery[tiab][tiab] OR treatment[tiab][tiab] OR therapy[tiab][tiab] OR drug[tiab][tiab] OR drugs[tiab][tiab] OR oncology[tiab][tiab] OR cancer[tiab][tiab] OR biomechanics[tiab][tiab] OR imaging[tiab][tiab] OR genomics[tiab][tiab] OR ""precision medicine""[tiab][tiab] OR ""precision health""[tiab][tiab] OR ""digital health""[tiab][tiab] OR ""personalized medicine""[tiab][tiab]) AND (review[pt] OR meta-analysis[pt] OR ""systematic review""[tiab] OR ""scoping review""[tiab] OR ""umbrella review""[tiab] OR ""meta review""[tiab])",5
"""virtual twinning""[tiab]","(""virtual twinning""[tiab][tiab]) AND (patient*[tiab][tiab] OR clinical[tiab][tiab] OR medical[tiab][tiab] OR health[tiab][tiab] OR medicine[tiab][tiab] OR surgery[tiab][tiab] OR treatment[tiab][tiab] OR therapy[tiab][tiab] OR drug[tiab][tiab] OR drugs[tiab][tiab] OR oncology[tiab][tiab] OR cancer[tiab][tiab] OR biomechanics[tiab][tiab] OR imaging[tiab][tiab] OR genomics[tiab][tiab] OR ""precision medicine""[tiab][tiab] OR ""precision health""[tiab][tiab] OR ""digital health""[tiab][tiab] OR ""personalized medicine""[tiab][tiab]) AND (review[pt] OR meta-analysis[pt] OR ""systematic review""[tiab] OR ""scoping review""[tiab] OR ""umbrella review""[tiab] OR ""meta review""[tiab])",1
"""digital replica""[tiab]","(""digital replica""[tiab][tiab]) AND (patient*[tiab][tiab] OR clinical[tiab][tiab] OR medical[tiab][tiab] OR health[tiab][tiab] OR medicine[tiab][tiab] OR surgery[tiab][tiab] OR treatment[tiab][tiab] OR therapy[tiab][tiab] OR drug[tiab][tiab] OR drugs[tiab][tiab] OR oncology[tiab][tiab] OR cancer[tiab][tiab] OR biomechanics[tiab][tiab] OR imaging[tiab][tiab] OR genomics[tiab][tiab] OR ""precision medicine""[tiab][tiab] OR ""precision health""[tiab][tiab] OR ""digital health""[tiab][tiab] OR ""personalized medicine""[tiab][tiab]) AND (review[pt] OR meta-analysis[pt] OR ""systematic review""[tiab] OR ""scoping review""[tiab] OR ""umbrella review""[tiab] OR ""meta review""[tiab])",5
"""digital replicas""[tiab]","(""digital replicas""[tiab][tiab]) AND (patient*[tiab][tiab] OR clinical[tiab][tiab] OR medical[tiab][tiab] OR health[tiab][tiab] OR medicine[tiab][tiab] OR surgery[tiab][tiab] OR treatment[tiab][tiab] OR therapy[tiab][tiab] OR drug[tiab][tiab] OR drugs[tiab][tiab] OR oncology[tiab][tiab] OR cancer[tiab][tiab] OR biomechanics[tiab][tiab] OR imaging[tiab][tiab] OR genomics[tiab][tiab] OR ""precision medicine""[tiab][tiab] OR ""precision health""[tiab][tiab] OR ""digital health""[tiab][tiab] OR ""personalized medicine""[tiab][tiab]) AND (review[pt] OR meta-analysis[pt] OR ""systematic review""[tiab] OR ""scoping review""[tiab] OR ""umbrella review""[tiab] OR ""meta review""[tiab])",3
"""digital replication""[tiab]","(""digital replication""[tiab][tiab]) AND (patient*[tiab][tiab] OR clinical[tiab][tiab] OR medical[tiab][tiab] OR health[tiab][tiab] OR medicine[tiab][tiab] OR surgery[tiab][tiab] OR treatment[tiab][tiab] OR therapy[tiab][tiab] OR drug[tiab][tiab] OR drugs[tiab][tiab] OR oncology[tiab][tiab] OR cancer[tiab][tiab] OR biomechanics[tiab][tiab] OR imaging[tiab][tiab] OR genomics[tiab][tiab] OR ""precision medicine""[tiab][tiab] OR ""precision health""[tiab][tiab] OR ""digital health""[tiab][tiab] OR ""personalized medicine""[tiab][tiab]) AND (review[pt] OR meta-analysis[pt] OR ""systematic review""[tiab] OR ""scoping review""[tiab] OR ""umbrella review""[tiab] OR ""meta review""[tiab])",0
"""virtual human*""[tiab]","(""virtual human*""[tiab][tiab]) AND (patient*[tiab][tiab] OR clinical[tiab][tiab] OR medical[tiab][tiab] OR health[tiab][tiab] OR medicine[tiab][tiab] OR surgery[tiab][tiab] OR treatment[tiab][tiab] OR therapy[tiab][tiab] OR drug[tiab][tiab] OR drugs[tiab][tiab] OR oncology[tiab][tiab] OR cancer[tiab][tiab] OR biomechanics[tiab][tiab] OR imaging[tiab][tiab] OR genomics[tiab][tiab] OR ""precision medicine""[tiab][tiab] OR ""precision health""[tiab][tiab] OR ""digital health""[tiab][tiab] OR ""personalized medicine""[tiab][tiab]) AND (review[pt] OR meta-analysis[pt] OR ""systematic review""[tiab] OR ""scoping review""[tiab] OR ""umbrella review""[tiab] OR ""meta review""[tiab])",31
"""virtual physiological human*""[tiab]","(""virtual physiological human*""[tiab][tiab]) AND (patient*[tiab][tiab] OR clinical[tiab][tiab] OR medical[tiab][tiab] OR health[tiab][tiab] OR medicine[tiab][tiab] OR surgery[tiab][tiab] OR treatment[tiab][tiab] OR therapy[tiab][tiab] OR drug[tiab][tiab] OR drugs[tiab][tiab] OR oncology[tiab][tiab] OR cancer[tiab][tiab] OR biomechanics[tiab][tiab] OR imaging[tiab][tiab] OR genomics[tiab][tiab] OR ""precision medicine""[tiab][tiab] OR ""precision health""[tiab][tiab] OR ""digital health""[tiab][tiab] OR ""personalized medicine""[tiab][tiab]) AND (review[pt] OR meta-analysis[pt] OR ""systematic review""[tiab] OR ""scoping review""[tiab] OR ""umbrella review""[tiab] OR ""meta review""[tiab])",9
"""virtual patient*""[tiab]","(""virtual patient*""[tiab][tiab]) AND (patient*[tiab][tiab] OR clinical[tiab][tiab] OR medical[tiab][tiab] OR health[tiab][tiab] OR medicine[tiab][tiab] OR surgery[tiab][tiab] OR treatment[tiab][tiab] OR therapy[tiab][tiab] OR drug[tiab][tiab] OR drugs[tiab][tiab] OR oncology[tiab][tiab] OR cancer[tiab][tiab] OR biomechanics[tiab][tiab] OR imaging[tiab][tiab] OR genomics[tiab][tiab] OR ""precision medicine""[tiab][tiab] OR ""precision health""[tiab][tiab] OR ""digital health""[tiab][tiab] OR ""personalized medicine""[tiab][tiab]) AND (review[pt] OR meta-analysis[pt] OR ""systematic review""[tiab] OR ""scoping review""[tiab] OR ""umbrella review""[tiab] OR ""meta review""[tiab])",203
"""in silico patient*""[tiab]","(""in silico patient*""[tiab][tiab]) AND (patient*[tiab][tiab] OR clinical[tiab][tiab] OR medical[tiab][tiab] OR health[tiab][tiab] OR medicine[tiab][tiab] OR surgery[tiab][tiab] OR treatment[tiab][tiab] OR therapy[tiab][tiab] OR drug[tiab][tiab] OR drugs[tiab][tiab] OR oncology[tiab][tiab] OR cancer[tiab][tiab] OR biomechanics[tiab][tiab] OR imaging[tiab][tiab] OR genomics[tiab][tiab] OR ""precision medicine""[tiab][tiab] OR ""precision health""[tiab][tiab] OR ""digital health""[tiab][tiab] OR ""personalized medicine""[tiab][tiab]) AND (review[pt] OR meta-analysis[pt] OR ""systematic review""[tiab] OR ""scoping review""[tiab] OR ""umbrella review""[tiab] OR ""meta review""[tiab])",2
"""synthetic patient*""[tiab]","(""synthetic patient*""[tiab][tiab]) AND (patient*[tiab][tiab] OR clinical[tiab][tiab] OR medical[tiab][tiab] OR health[tiab][tiab] OR medicine[tiab][tiab] OR surgery[tiab][tiab] OR treatment[tiab][tiab] OR therapy[tiab][tiab] OR drug[tiab][tiab] OR drugs[tiab][tiab] OR oncology[tiab][tiab] OR cancer[tiab][tiab] OR biomechanics[tiab][tiab] OR imaging[tiab][tiab] OR genomics[tiab][tiab] OR ""precision medicine""[tiab][tiab] OR ""precision health""[tiab][tiab] OR ""digital health""[tiab][tiab] OR ""personalized medicine""[tiab][tiab]) AND (review[pt] OR meta-analysis[pt] OR ""systematic review""[tiab] OR ""scoping review""[tiab] OR ""umbrella review""[tiab] OR ""meta review""[tiab])",8
"""virtual sibling*""[tiab]","(""virtual sibling*""[tiab][tiab]) AND (patient*[tiab][tiab] OR clinical[tiab][tiab] OR medical[tiab][tiab] OR health[tiab][tiab] OR medicine[tiab][tiab] OR surgery[tiab][tiab] OR treatment[tiab][tiab] OR therapy[tiab][tiab] OR drug[tiab][tiab] OR drugs[tiab][tiab] OR oncology[tiab][tiab] OR cancer[tiab][tiab] OR biomechanics[tiab][tiab] OR imaging[tiab][tiab] OR genomics[tiab][tiab] OR ""precision medicine""[tiab][tiab] OR ""precision health""[tiab][tiab] OR ""digital health""[tiab][tiab] OR ""personalized medicine""[tiab][tiab]) AND (review[pt] OR meta-analysis[pt] OR ""systematic review""[tiab] OR ""scoping review""[tiab] OR ""umbrella review""[tiab] OR ""meta review""[tiab])",0
"""patient-specific computational model*""[tiab]","(""patient-specific computational model*""[tiab][tiab]) AND (patient*[tiab][tiab] OR clinical[tiab][tiab] OR medical[tiab][tiab] OR health[tiab][tiab] OR medicine[tiab][tiab] OR surgery[tiab][tiab] OR treatment[tiab][tiab] OR therapy[tiab][tiab] OR drug[tiab][tiab] OR drugs[tiab][tiab] OR oncology[tiab][tiab] OR cancer[tiab][tiab] OR biomechanics[tiab][tiab] OR imaging[tiab][tiab] OR genomics[tiab][tiab] OR ""precision medicine""[tiab][tiab] OR ""precision health""[tiab][tiab] OR ""digital health""[tiab][tiab] OR ""personalized medicine""[tiab][tiab]) AND (review[pt] OR meta-analysis[pt] OR ""systematic review""[tiab] OR ""scoping review""[tiab] OR ""umbrella review""[tiab] OR ""meta review""[tiab])",19
"""personalized computational model*""[tiab]","(""personalized computational model*""[tiab][tiab]) AND (patient*[tiab][tiab] OR clinical[tiab][tiab] OR medical[tiab][tiab] OR health[tiab][tiab] OR medicine[tiab][tiab] OR surgery[tiab][tiab] OR treatment[tiab][tiab] OR therapy[tiab][tiab] OR drug[tiab][tiab] OR drugs[tiab][tiab] OR oncology[tiab][tiab] OR cancer[tiab][tiab] OR biomechanics[tiab][tiab] OR imaging[tiab][tiab] OR genomics[tiab][tiab] OR ""precision medicine""[tiab][tiab] OR ""precision health""[tiab][tiab] OR ""digital health""[tiab][tiab] OR ""personalized medicine""[tiab][tiab]) AND (review[pt] OR meta-analysis[pt] OR ""systematic review""[tiab] OR ""scoping review""[tiab] OR ""umbrella review""[tiab] OR ""meta review""[tiab])",9
"""patient avatar*""[tiab]","(""patient avatar*""[tiab][tiab]) AND (patient*[tiab][tiab] OR clinical[tiab][tiab] OR medical[tiab][tiab] OR health[tiab][tiab] OR medicine[tiab][tiab] OR surgery[tiab][tiab] OR treatment[tiab][tiab] OR therapy[tiab][tiab] OR drug[tiab][tiab] OR drugs[tiab][tiab] OR oncology[tiab][tiab] OR cancer[tiab][tiab] OR biomechanics[tiab][tiab] OR imaging[tiab][tiab] OR genomics[tiab][tiab] OR ""precision medicine""[tiab][tiab] OR ""precision health""[tiab][tiab] OR ""digital health""[tiab][tiab] OR ""personalized medicine""[tiab][tiab]) AND (review[pt] OR meta-analysis[pt] OR ""systematic review""[tiab] OR ""scoping review""[tiab] OR ""umbrella review""[tiab] OR ""meta review""[tiab])",14
"""digital avatar*""[tiab]","(""digital avatar*""[tiab][tiab]) AND (patient*[tiab][tiab] OR clinical[tiab][tiab] OR medical[tiab][tiab] OR health[tiab][tiab] OR medicine[tiab][tiab] OR surgery[tiab][tiab] OR treatment[tiab][tiab] OR therapy[tiab][tiab] OR drug[tiab][tiab] OR drugs[tiab][tiab] OR oncology[tiab][tiab] OR cancer[tiab][tiab] OR biomechanics[tiab][tiab] OR imaging[tiab][tiab] OR genomics[tiab][tiab] OR ""precision medicine""[tiab][tiab] OR ""precision health""[tiab][tiab] OR ""digital health""[tiab][tiab] OR ""personalized medicine""[tiab][tiab]) AND (review[pt] OR meta-analysis[pt] OR ""systematic review""[tiab] OR ""scoping review""[tiab] OR ""umbrella review""[tiab] OR ""meta review""[tiab])",5
"""digital Patient*""[tiab]","(""digital Patient*""[tiab][tiab]) AND (patient*[tiab][tiab] OR clinical[tiab][tiab] OR medical[tiab][tiab] OR health[tiab][tiab] OR medicine[tiab][tiab] OR surgery[tiab][tiab] OR treatment[tiab][tiab] OR therapy[tiab][tiab] OR drug[tiab][tiab] OR drugs[tiab][tiab] OR oncology[tiab][tiab] OR cancer[tiab][tiab] OR biomechanics[tiab][tiab] OR imaging[tiab][tiab] OR genomics[tiab][tiab] OR ""precision medicine""[tiab][tiab] OR ""precision health""[tiab][tiab] OR ""digital health""[tiab][tiab] OR ""personalized medicine""[tiab][tiab]) AND (review[pt] OR meta-analysis[pt] OR ""systematic review""[tiab] OR ""scoping review""[tiab] OR ""umbrella review""[tiab] OR ""meta review""[tiab])",56
"""virtual avatar*""[tiab]","(""virtual avatar*""[tiab][tiab]) AND (patient*[tiab][tiab] OR clinical[tiab][tiab] OR medical[tiab][tiab] OR health[tiab][tiab] OR medicine[tiab][tiab] OR surgery[tiab][tiab] OR treatment[tiab][tiab] OR therapy[tiab][tiab] OR drug[tiab][tiab] OR drugs[tiab][tiab] OR oncology[tiab][tiab] OR cancer[tiab][tiab] OR biomechanics[tiab][tiab] OR imaging[tiab][tiab] OR genomics[tiab][tiab] OR ""precision medicine""[tiab][tiab] OR ""precision health""[tiab][tiab] OR ""digital health""[tiab][tiab] OR ""personalized medicine""[tiab][tiab]) AND (review[pt] OR meta-analysis[pt] OR ""systematic review""[tiab] OR ""scoping review""[tiab] OR ""umbrella review""[tiab] OR ""meta review""[tiab])",5
"""medical twin*""[tiab]","(""medical twin*""[tiab][tiab]) AND (patient*[tiab][tiab] OR clinical[tiab][tiab] OR medical[tiab][tiab] OR health[tiab][tiab] OR medicine[tiab][tiab] OR surgery[tiab][tiab] OR treatment[tiab][tiab] OR therapy[tiab][tiab] OR drug[tiab][tiab] OR drugs[tiab][tiab] OR oncology[tiab][tiab] OR cancer[tiab][tiab] OR biomechanics[tiab][tiab] OR imaging[tiab][tiab] OR genomics[tiab][tiab] OR ""precision medicine""[tiab][tiab] OR ""precision health""[tiab][tiab] OR ""digital health""[tiab][tiab] OR ""personalized medicine""[tiab][tiab]) AND (review[pt] OR meta-analysis[pt] OR ""systematic review""[tiab] OR ""scoping review""[tiab] OR ""umbrella review""[tiab] OR ""meta review""[tiab])",1
"""health twin*""[tiab]","(""health twin*""[tiab][tiab]) AND (patient*[tiab][tiab] OR clinical[tiab][tiab] OR medical[tiab][tiab] OR health[tiab][tiab] OR medicine[tiab][tiab] OR surgery[tiab][tiab] OR treatment[tiab][tiab] OR therapy[tiab][tiab] OR drug[tiab][tiab] OR drugs[tiab][tiab] OR oncology[tiab][tiab] OR cancer[tiab][tiab] OR biomechanics[tiab][tiab] OR imaging[tiab][tiab] OR genomics[tiab][tiab] OR ""precision medicine""[tiab][tiab] OR ""precision health""[tiab][tiab] OR ""digital health""[tiab][tiab] OR ""personalized medicine""[tiab][tiab]) AND (review[pt] OR meta-analysis[pt] OR ""systematic review""[tiab] OR ""scoping review""[tiab] OR ""umbrella review""[tiab] OR ""meta review""[tiab])",4
"""organ twin*""[tiab]","(""organ twin*""[tiab][tiab]) AND (patient*[tiab][tiab] OR clinical[tiab][tiab] OR medical[tiab][tiab] OR health[tiab][tiab] OR medicine[tiab][tiab] OR surgery[tiab][tiab] OR treatment[tiab][tiab] OR therapy[tiab][tiab] OR drug[tiab][tiab] OR drugs[tiab][tiab] OR oncology[tiab][tiab] OR cancer[tiab][tiab] OR biomechanics[tiab][tiab] OR imaging[tiab][tiab] OR genomics[tiab][tiab] OR ""precision medicine""[tiab][tiab] OR ""precision health""[tiab][tiab] OR ""digital health""[tiab][tiab] OR ""personalized medicine""[tiab][tiab]) AND (review[pt] OR meta-analysis[pt] OR ""systematic review""[tiab] OR ""scoping review""[tiab] OR ""umbrella review""[tiab] OR ""meta review""[tiab])",0
"""surrogate model*""[tiab]","(""surrogate model*""[tiab][tiab]) AND (patient*[tiab][tiab] OR clinical[tiab][tiab] OR medical[tiab][tiab] OR health[tiab][tiab] OR medicine[tiab][tiab] OR surgery[tiab][tiab] OR treatment[tiab][tiab] OR therapy[tiab][tiab] OR drug[tiab][tiab] OR drugs[tiab][tiab] OR oncology[tiab][tiab] OR cancer[tiab][tiab] OR biomechanics[tiab][tiab] OR imaging[tiab][tiab] OR genomics[tiab][tiab] OR ""precision medicine""[tiab][tiab] OR ""precision health""[tiab][tiab] OR ""digital health""[tiab][tiab] OR ""personalized medicine""[tiab][tiab]) AND (review[pt] OR meta-analysis[pt] OR ""systematic review""[tiab] OR ""scoping review""[tiab] OR ""umbrella review""[tiab] OR ""meta review""[tiab])",91
"""biomimetic twin*""[tiab]","(""biomimetic twin*""[tiab][tiab]) AND (patient*[tiab][tiab] OR clinical[tiab][tiab] OR medical[tiab][tiab] OR health[tiab][tiab] OR medicine[tiab][tiab] OR surgery[tiab][tiab] OR treatment[tiab][tiab] OR therapy[tiab][tiab] OR drug[tiab][tiab] OR drugs[tiab][tiab] OR oncology[tiab][tiab] OR cancer[tiab][tiab] OR biomechanics[tiab][tiab] OR imaging[tiab][tiab] OR genomics[tiab][tiab] OR ""precision medicine""[tiab][tiab] OR ""precision health""[tiab][tiab] OR ""digital health""[tiab][tiab] OR ""personalized medicine""[tiab][tiab]) AND (review[pt] OR meta-analysis[pt] OR ""systematic review""[tiab] OR ""scoping review""[tiab] OR ""umbrella review""[tiab] OR ""meta review""[tiab])",0
